Date,AA,INTC,JPM,PG,^GSPC
10/03/2022,36.30955123901367,25.66000747680664,100.74556732177734,120.68640899658203,3678.429931640625
10/04/2022,39.06748580932617,26.354549407958984,105.45880889892578,122.17961883544922,3790.929931640625
10/05/2022,38.92182540893555,26.29746437072754,104.15673828125,121.33440399169922,3783.280029296875
10/06/2022,38.698463439941406,25.85980796813965,102.03378295898438,118.77999877929688,3744.52001953125
10/07/2022,37.88274002075195,24.470720291137695,99.99575805664062,116.70454406738281,3639.659912109375
10/10/2022,37.717647552490234,23.975982666015625,99.06163024902344,116.22559356689453,3612.389892578125
10/11/2022,36.75625228881836,23.823753356933594,96.2027359008789,116.66697692871094,3588.840087890625
10/12/2022,38.70817184448242,24.09966468811035,97.75957489013672,116.85478973388672,3577.030029296875
10/13/2022,39.69870376586914,25.136722564697266,103.19432830810547,118.62033081054688,3669.909912109375
10/14/2022,37.24181365966797,24.651493072509766,104.91155242919922,117.46522521972656,3583.070068359375
10/17/2022,38.24204635620117,25.136722564697266,109.31785583496094,119.58763122558594,3677.949951171875
10/18/2022,38.5625114440918,24.613439559936523,112.12959289550781,120.554931640625,3719.97998046875
10/19/2022,36.532901763916016,24.737123489379883,109.93115997314453,121.67247772216797,3695.159912109375
10/20/2022,37.78562927246094,24.813236236572266,109.57260131835938,120.1053237915039,3665.780029296875
10/21/2022,39.87350845336914,25.66000747680664,115.32817840576172,121.609130859375,3752.75
10/24/2022,38.038116455078125,25.85980796813965,115.46969604492188,122.35628509521484,3797.340087890625
10/25/2022,40.291080474853516,26.07863426208496,115.7716293334961,123.76553344726562,3859.110107421875
10/26/2022,41.41755676269531,25.888347625732422,117.10202026367188,124.63565063476562,3830.60009765625
10/27/2022,40.21338653564453,24.994007110595703,117.56434631347656,124.7302017211914,3807.300048828125
10/28/2022,38.348873138427734,27.658004760742188,118.96076965332031,127.88914489746094,3901.06005859375
10/31/2022,37.998382568359375,27.049091339111328,118.7720718383789,127.36894226074219,3871.97998046875
11/01/2022,39.79948806762695,26.925405502319336,120.91388702392578,127.56761169433594,3856.10009765625
11/02/2022,36.771690368652344,26.088146209716797,119.80052185058594,125.73274230957031,3759.68994140625
11/03/2022,36.70353698730469,26.059606552124023,120.01753997802734,124.8720932006836,3719.889892578125
11/04/2022,41.27931594848633,27.192636489868164,123.30103302001953,127.15142059326172,3770.550048828125
11/07/2022,40.41283416748047,27.395132064819336,123.95207214355469,129.09974670410156,3806.800048828125
11/08/2022,42.08736801147461,27.462631225585938,124.02755737304688,129.39295959472656,3828.110107421875
11/09/2022,39.60477828979492,26.53692626953125,122.41412353515625,129.08082580566406,3748.570068359375
11/10/2022,42.67151641845703,28.6969051361084,127.45256805419922,133.52601623535156,3956.3701171875
11/11/2022,46.40027618408203,29.342973709106445,127.66016387939453,133.32742309570312,3992.929931640625
11/14/2022,46.94548416137695,29.265832901000977,126.34864044189453,133.3368682861328,3957.25
11/15/2022,47.9093132019043,29.61297035217285,125.43341827392578,132.8734588623047,3991.72998046875
11/16/2022,47.38357925415039,28.47512435913086,125.60322570800781,134.0556640625,3958.7900390625
11/17/2022,46.11794662475586,28.822261810302734,125.05601501464844,133.2328338623047,3946.56005859375
11/18/2022,46.059532165527344,28.802978515625,126.28260040283203,134.84066772460938,3965.340087890625
11/21/2022,45.39751052856445,27.906200408935547,125.53720092773438,136.5525360107422,3949.93994140625
11/22/2022,48.05535125732422,28.7547607421875,127.41483306884766,137.72531127929688,4003.580078125
11/23/2022,47.227813720703125,28.61012077331543,128.7735137939453,138.5102996826172,4027.260009765625
11/25/2022,46.62419891357422,28.29191017150879,129.0188446044922,138.76564025878906,4026.1201171875
11/28/2022,45.202796936035156,27.703702926635742,126.76380157470703,138.6521759033203,3963.93994140625
11/29/2022,46.43922424316406,27.867626190185547,128.8489990234375,137.59292602539062,3957.6298828125
11/30/2022,48.80500030517578,28.995832443237305,130.37750244140625,141.0734100341797,4080.110107421875
12/01/2022,47.80221176147461,28.764406204223633,128.54708862304688,141.15850830078125,4076.570068359375
12/02/2022,49.05812454223633,28.35940933227539,127.52806091308594,142.44476318359375,4071.699951171875
12/05/2022,45.29041290283203,28.127981185913086,123.95207214355469,141.0072021484375,3998.840087890625
12/06/2022,47.03310775756836,27.578344345092773,124.15965270996094,141.18687438964844,3941.260009765625
12/07/2022,45.3682975769043,27.3179874420166,124.0747299194336,142.09483337402344,3933.919921875
12/08/2022,46.03031921386719,27.424060821533203,125.37680053710938,143.1162872314453,3963.510009765625
12/09/2022,43.88847732543945,27.231203079223633,124.69744873046875,142.73797607421875,3934.3798828125
12/12/2022,44.59917449951172,27.665130615234375,126.63169860839844,144.20394897460938,3990.56005859375
12/13/2022,44.94966506958008,27.703702926635742,126.50904083251953,143.98641967773438,4019.64990234375
12/14/2022,44.297367095947266,27.250490188598633,125.87689971923828,144.5538787841797,3995.320068359375
12/15/2022,42.126312255859375,26.180143356323242,122.7537841796875,142.9176788330078,3895.75
12/16/2022,41.590850830078125,25.958356857299805,121.98950958251953,142.28399658203125,3852.360107421875
12/19/2022,41.20142364501953,25.8330020904541,122.7160415649414,142.2461700439453,3817.659912109375
12/20/2022,42.92464065551758,25.49550437927246,123.31047058105469,142.30294799804688,3821.6201171875
12/21/2022,43.68402099609375,25.871570587158203,124.69744873046875,143.6081085205078,3878.43994140625
12/22/2022,42.69099044799805,25.042295455932617,123.28215026855469,143.93911743164062,3822.389892578125
12/23/2022,43.03173828125,25.15800666809082,123.86714172363281,144.34579467773438,3844.820068359375
12/27/2022,43.67428970336914,25.01336669921875,124.3011703491211,145.6037139892578,3829.25
12/28/2022,42.642303466796875,24.627655029296875,124.98054504394531,143.7216033935547,3783.219970703125
12/29/2022,45.3293571472168,25.27372169494629,125.6976318359375,144.31744384765625,3849.280029296875
12/30/2022,44.268165588378906,25.48586082458496,126.52792358398438,143.34326171875,3839.5
01/03/2023,43.401695251464844,25.775144577026367,127.49032592773438,143.3527374267578,3824.139892578125
01/04/2023,43.93715286254883,26.69120979309082,128.67918395996094,143.97694396972656,3852.969970703125
01/05/2023,44.28764724731445,26.57549476623535,128.65069580078125,142.1894073486328,3808.10009765625
01/06/2023,45.134647369384766,27.703702926635742,131.11245727539062,145.57533264160156,3895.080078125
01/09/2023,48.94129180908203,28.262983322143555,130.57066345214844,143.79725646972656,3892.090087890625
01/10/2023,51.57966613769531,28.388338088989258,131.73980712890625,143.65538024902344,3919.25
01/11/2023,50.57688522338867,28.78369140625,132.7188262939453,142.49205017089844,3969.610107421875
01/12/2023,51.91067886352539,29.20797348022461,132.58575439453125,141.68814086914062,3983.169921875
01/13/2023,53.16658401489258,29.034404754638672,135.9315185546875,142.70016479492188,3999.090087890625
01/17/2023,53.409976959228516,28.542621612548828,133.83087158203125,142.28399658203125,3990.969970703125
01/18/2023,52.03725051879883,27.780841827392578,129.81028747558594,138.47247314453125,3928.860107421875
01/19/2023,48.211124420166016,27.404775619506836,128.0803680419922,135.54405212402344,3898.85009765625
01/20/2023,49.65200424194336,28.17619514465332,128.39402770996094,136.0675048828125,3972.610107421875
01/23/2023,50.382179260253906,29.188690185546875,130.4756317138672,134.24017333984375,4019.81005859375
01/24/2023,51.47256851196289,28.8511905670166,131.5972442626953,134.9730224609375,4016.949951171875
01/25/2023,50.810543060302734,28.63905143737793,132.2340545654297,134.87783813476562,4016.219970703125
01/26/2023,50.732666015625,29.015119552612305,133.0514678955078,134.33534240722656,4060.429931640625
01/27/2023,51.355743408203125,27.154062271118164,133.37466430664062,133.78335571289062,4070.56005859375
01/30/2023,49.00944519042969,26.95156478881836,132.2435760498047,134.2021026611328,4017.77001953125
01/31/2023,50.859230041503906,27.250490188598633,133.03245544433594,135.50595092773438,4076.60009765625
02/01/2023,53.13737869262695,28.03155517578125,132.6807861328125,136.27685546875,4119.2099609375
02/02/2023,52.241695404052734,29.11154556274414,132.06295776367188,135.30609130859375,4179.759765625
02/03/2023,51.346012115478516,29.236900329589844,134.10655212402344,135.724853515625,4136.47998046875
02/06/2023,50.64503479003906,28.002227783203125,134.8954620361328,134.57327270507812,4111.080078125
02/07/2023,51.832794189453125,28.353595733642578,136.53982543945312,133.25991821289062,4164.0
02/08/2023,49.282039642333984,27.56301498413086,135.57984924316406,131.87991333007812,4117.85986328125
02/09/2023,48.688167572021484,27.06524085998535,133.46971130371094,130.4333038330078,4081.5
02/10/2023,47.40305709838867,27.133562088012695,134.05902099609375,131.58486938476562,4090.4599609375
02/13/2023,46.6826171875,27.865581512451172,135.51327514648438,133.30747985839844,4137.2900390625
02/14/2023,47.6367073059082,27.95342254638672,136.11212158203125,132.55563354492188,4136.1298828125
